  45.06
 318.00
 771486538
Year Mnth Day Hr dayl(s) prcp(mm/day) srad(W/m2) swe(mm) tmax(C) tmin(C) vp(Pa)
1980 01 01 12	31101.65	0.00	176.19	0.00	-3.12	-13.61	213.05
1980 01 02 12	31104.01	0.00	165.06	0.00	-1.56	-11.16	260.00
1980 01 03 12	31104.01	0.00	203.43	0.00	-2.45	-15.75	179.16
1980 01 04 12	31104.01	0.00	168.59	0.00	-8.53	-18.00	151.51
1980 01 05 12	31253.96	0.00	189.22	0.00	-7.63	-18.79	138.87
1980 01 06 12	31413.66	0.00	209.01	0.00	-7.52	-20.84	118.98
1980 01 07 12	31449.60	0.00	209.11	0.00	-7.09	-20.20	125.41
1980 01 08 12	31449.60	5.17	153.64	0.00	0.87	-11.74	241.89
1980 01 09 12	31454.02	0.00	176.78	0.00	-3.66	-13.45	204.42
1980 01 10 12	31671.72	0.00	219.10	0.00	-6.34	-20.02	122.82
1980 01 11 12	31795.19	0.00	209.40	0.00	-5.56	-17.82	152.90
1980 01 12 12	31795.19	17.15	186.23	0.00	10.24	-10.01	280.00
1980 01 13 12	31799.61	0.00	219.61	0.00	-1.00	-13.84	211.04
1980 01 14 12	32065.20	0.00	194.07	0.00	-3.15	-13.36	222.87
1980 01 15 12	32140.80	5.58	121.71	0.00	2.59	-5.52	407.06
1980 01 16 12	32140.80	0.00	235.83	0.00	1.62	-12.54	231.43
1980 01 17 12	32362.92	0.00	227.01	0.00	-1.01	-13.72	216.50
1980 01 18 12	32486.39	0.31	190.37	0.00	-1.84	-11.30	258.31
1980 01 19 12	32486.39	0.00	116.87	0.00	1.54	-3.77	461.86
1980 01 20 12	32708.53	0.00	181.25	0.00	2.26	-6.46	380.50
1980 01 21 12	32832.01	0.00	223.36	0.00	-3.60	-14.96	191.13
1980 01 22 12	32832.01	0.00	181.64	0.00	-9.22	-17.48	157.34
1980 01 23 12	33102.00	6.96	161.95	0.00	-5.13	-15.42	184.04
1980 01 24 12	33177.60	4.48	195.14	0.00	-4.93	-17.72	151.62
1980 01 25 12	33182.02	0.00	184.76	0.00	-14.98	-22.91	98.98
1980 01 26 12	33523.20	0.00	229.79	0.00	-9.14	-19.72	132.02
1980 01 27 12	33523.20	0.00	216.04	0.00	-6.36	-15.93	180.74
1980 01 28 12	33745.35	0.00	222.45	0.00	-3.39	-13.34	224.88
1980 01 29 12	33868.82	0.00	265.49	0.00	-4.06	-17.00	166.34
1980 01 30 12	33873.24	0.00	251.88	0.00	-8.64	-20.04	128.42
1980 01 31 12	34214.39	0.00	220.38	0.00	-11.77	-20.86	118.30
1980 02 01 12	34214.39	0.00	229.80	0.00	-10.80	-20.38	119.93
1980 02 02 12	34557.63	0.00	216.32	0.00	-9.63	-18.28	156.72
1980 02 03 12	34559.99	0.00	171.81	0.00	-11.43	-17.77	156.45
1980 02 04 12	34830.00	0.00	228.17	0.00	-8.92	-17.68	157.05
1980 02 05 12	34905.59	0.00	223.43	0.00	-6.17	-14.59	200.00
1980 02 06 12	35055.52	0.00	244.29	0.00	-5.36	-14.50	199.21
1980 02 07 12	35251.20	0.00	324.29	0.00	-2.02	-17.78	146.45
1980 02 08 12	35329.30	0.00	289.90	0.00	-4.35	-16.07	177.35
1980 02 09 12	35596.80	0.00	320.37	0.00	-2.32	-16.46	164.61
1980 02 10 12	35601.23	0.00	350.60	0.00	-2.22	-20.99	116.67
1980 02 11 12	35942.40	0.00	342.14	0.00	-3.52	-19.51	129.56
1980 02 12 12	35942.40	0.00	335.88	0.00	-2.23	-16.92	159.31
1980 02 13 12	36288.00	0.00	307.54	0.00	-1.93	-13.85	200.00
1980 02 14 12	36288.00	0.00	264.05	0.00	-3.93	-13.21	228.85
1980 02 15 12	36633.59	0.00	280.89	0.00	-2.51	-12.37	240.00
1980 02 16 12	36633.59	0.00	272.11	0.00	-4.72	-13.75	213.43
1980 02 17 12	36979.20	15.27	199.70	0.00	-7.70	-16.17	176.66
1980 02 18 12	36983.62	0.00	329.07	0.00	-8.23	-19.89	119.73
1980 02 19 12	37324.80	0.00	380.08	0.00	-1.98	-18.55	147.71
1980 02 20 12	37402.91	0.00	386.60	0.00	2.64	-14.65	196.00
1980 02 21 12	37670.41	0.00	310.35	0.00	6.04	-4.80	427.51
1980 02 22 12	37820.34	0.00	419.66	0.00	2.78	-22.18	103.61
1980 02 23 12	38016.03	9.24	281.25	0.00	-4.33	-19.06	139.55
1980 02 24 12	38325.66	0.00	355.02	0.00	-0.30	-13.36	223.09
1980 02 25 12	38361.61	0.00	330.45	0.00	-1.19	-12.56	226.06
1980 02 26 12	38707.21	0.00	411.17	0.00	0.23	-17.52	154.44
1980 02 27 12	38707.21	0.00	389.39	0.00	-9.41	-24.27	83.80
1980 02 28 12	39052.80	0.59	348.02	0.00	-9.11	-20.98	117.77
1980 02 29 12	39052.80	2.00	391.54	0.00	-6.40	-20.91	119.93
1980 03 01 12	39398.41	0.00	348.39	0.00	-9.95	-21.65	119.75
1980 03 02 12	39398.41	0.00	401.98	0.00	-9.43	-24.38	79.93
1980 03 03 12	39744.00	0.00	441.91	0.00	-6.70	-25.60	79.56
1980 03 04 12	39748.42	0.00	452.42	0.00	-0.87	-21.50	113.18
1980 03 05 12	40089.58	0.00	398.15	0.00	2.51	-12.59	236.34
1980 03 06 12	40435.21	4.12	199.93	0.00	1.41	-7.13	359.51
1980 03 07 12	40435.21	0.00	358.58	0.00	-0.61	-12.87	228.93
1980 03 08 12	40780.81	4.09	218.36	0.00	1.79	-7.43	350.85
1980 03 09 12	40780.81	9.09	153.91	0.00	0.50	-5.50	408.56
1980 03 10 12	41126.39	0.00	428.38	0.00	0.35	-14.82	193.97
1980 03 11 12	41126.39	5.59	296.66	0.00	3.02	-9.88	289.55
1980 03 12 12	41471.99	13.37	341.01	0.00	-0.43	-16.38	174.62
1980 03 13 12	41550.07	0.00	387.86	0.00	-8.88	-20.51	125.09
1980 03 14 12	41817.58	6.98	337.24	0.00	-1.44	-16.33	175.81
1980 03 15 12	42163.21	11.51	222.90	0.00	-1.39	-9.52	296.07
1980 03 16 12	42163.21	0.00	412.23	0.00	-3.49	-15.69	179.73
1980 03 17 12	42508.81	0.00	432.08	0.00	-0.94	-14.08	210.78
1980 03 18 12	42508.81	24.39	346.74	0.00	6.33	-8.37	327.34
1980 03 19 12	42854.41	10.72	348.30	0.00	5.87	-8.61	317.91
1980 03 20 12	42854.41	0.00	438.73	0.00	0.99	-11.69	252.90
1980 03 21 12	43200.00	0.00	486.18	0.00	6.23	-8.78	313.97
1980 03 22 12	43545.59	0.00	356.59	0.00	6.03	-3.47	478.45
1980 03 23 12	43545.59	0.00	359.74	0.00	7.50	-1.75	542.73
1980 03 24 12	43891.18	0.00	418.06	0.00	6.63	-4.34	445.25
1980 03 25 12	43891.18	0.00	357.08	0.00	5.62	-3.17	484.57
1980 03 26 12	44236.83	0.00	259.29	0.00	4.31	-1.69	542.21
1980 03 27 12	44236.83	3.50	214.42	0.00	2.80	-2.92	494.00
1980 03 28 12	44582.41	0.00	482.08	0.00	5.03	-7.26	355.43
1980 03 29 12	44849.90	0.00	496.03	0.00	10.01	-3.04	489.73
1980 03 30 12	44928.00	2.69	400.81	0.00	11.21	-1.33	558.29
1980 03 31 12	45273.60	0.00	561.56	0.00	9.45	-7.03	358.07
1980 04 01 12	45273.60	0.00	558.24	0.00	8.95	-7.00	359.60
1980 04 02 12	45619.20	0.00	563.38	0.00	10.33	-5.75	392.18
1980 04 03 12	45619.20	0.00	547.35	0.00	10.82	-3.91	450.70
1980 04 04 12	45964.83	0.00	554.14	0.00	10.96	-4.05	441.82
1980 04 05 12	45964.83	14.42	212.28	0.00	3.97	-1.91	533.55
1980 04 06 12	46310.42	0.00	392.08	0.00	3.65	-4.70	433.06
1980 04 07 12	46577.91	0.00	565.00	0.00	4.95	-9.68	293.66
1980 04 08 12	46655.98	0.00	515.04	0.00	9.33	-3.34	480.26
1980 04 09 12	47001.59	0.00	331.34	0.00	7.86	0.90	644.30
1980 04 10 12	47001.59	13.44	269.35	0.00	8.43	0.90	650.74
1980 04 11 12	47347.21	16.62	284.25	0.00	8.92	1.11	664.69
1980 04 12 12	47347.21	0.44	508.19	0.00	11.65	-0.29	594.29
1980 04 13 12	47692.81	6.71	284.20	0.00	10.14	2.35	720.02
1980 04 14 12	47692.81	0.00	491.38	0.00	10.24	-0.59	582.62
1980 04 15 12	48038.40	7.84	375.02	0.00	12.09	0.95	660.14
1980 04 16 12	48074.34	12.41	403.28	0.00	11.34	-1.08	567.88
1980 04 17 12	48383.98	0.00	521.61	0.00	5.16	-6.04	392.87
1980 04 18 12	48579.62	0.00	553.91	0.00	7.02	-5.34	410.47
1980 04 19 12	48729.60	0.00	570.60	0.00	7.86	-5.21	413.73
1980 04 20 12	48997.08	0.00	620.24	0.00	12.08	-4.18	442.10
1980 04 21 12	49075.16	5.23	467.38	0.00	16.57	-0.40	592.56
1980 04 22 12	49416.37	0.00	606.02	0.00	8.31	-6.88	368.17
1980 04 23 12	49420.80	10.96	275.98	0.00	5.61	-1.50	549.17
1980 04 24 12	49766.42	3.89	246.09	0.00	7.52	1.66	687.01
1980 04 25 12	49766.42	0.00	510.20	0.00	13.20	1.89	709.69
1980 04 26 12	50112.02	4.76	360.40	0.00	14.81	4.43	846.02
1980 04 27 12	50112.02	10.29	197.37	0.00	9.03	4.03	818.67
1980 04 28 12	50457.61	0.00	538.06	0.00	11.51	-0.41	592.14
1980 04 29 12	50457.61	0.00	509.50	0.00	12.12	1.19	670.72
1980 04 30 12	50798.73	30.06	387.82	0.00	15.33	3.97	816.60
1980 05 01 12	50803.16	0.00	371.18	0.00	12.91	5.84	926.69
1980 05 02 12	51070.71	0.00	615.26	0.00	17.52	1.73	692.49
1980 05 03 12	51148.79	0.00	655.58	0.00	17.18	-2.34	516.87
1980 05 04 12	51344.45	0.00	645.74	0.00	20.33	1.10	650.13
1980 05 05 12	51494.37	0.00	645.20	0.00	14.00	-4.21	448.15
1980 05 06 12	51569.96	0.00	597.29	0.00	14.97	-0.18	601.47
1980 05 07 12	51840.01	5.40	448.92	0.00	17.57	1.85	699.65
1980 05 08 12	51842.37	11.22	164.34	0.00	6.90	2.84	750.18
1980 05 09 12	52185.62	4.28	237.71	0.00	8.92	2.83	749.35
1980 05 10 12	52185.62	4.06	416.03	0.00	13.50	0.56	634.68
1980 05 11 12	52526.77	0.00	607.13	0.00	14.82	-1.10	564.26
1980 05 12 12	52531.20	0.00	618.05	0.00	21.05	3.12	762.39
1980 05 13 12	52654.68	0.00	624.26	0.00	21.78	2.72	742.30
1980 05 14 12	52876.77	0.39	563.13	0.00	20.73	5.60	910.68
1980 05 15 12	52876.77	0.00	513.97	0.00	13.95	1.44	675.99
1980 05 16 12	53217.99	2.10	514.87	0.00	16.86	1.86	701.31
1980 05 17 12	53222.43	0.00	612.14	0.00	19.33	1.01	659.66
1980 05 18 12	53298.03	0.00	572.26	0.00	20.36	4.18	821.48
1980 05 19 12	53568.05	7.18	300.27	0.00	18.07	8.51	1120.52
1980 05 20 12	53568.05	0.00	580.79	0.00	19.47	2.72	745.53
1980 05 21 12	53691.54	0.00	580.55	0.00	20.36	3.24	771.41
1980 05 22 12	53913.61	0.00	545.80	0.00	23.14	7.24	1018.33
1980 05 23 12	53913.61	0.00	592.69	0.00	23.87	4.06	812.87
1980 05 24 12	54037.09	0.00	569.82	0.00	21.79	3.68	796.12
1980 05 25 12	54259.20	0.00	562.31	0.00	22.30	4.22	821.20
1980 05 26 12	54259.20	0.00	510.39	0.00	16.60	1.73	698.41
1980 05 27 12	54334.79	0.00	309.89	0.00	12.32	4.42	834.57
1980 05 28 12	54600.36	0.00	426.52	0.00	12.96	1.52	682.58
1980 05 29 12	54604.78	0.00	443.86	0.00	14.44	2.13	715.91
1980 05 30 12	54604.78	0.00	575.06	0.00	20.85	0.82	647.01
1980 05 31 12	54728.26	0.00	503.01	0.00	23.65	7.39	1033.11
1980 06 01 12	54945.99	2.12	339.63	0.00	20.42	10.27	1261.90
